"c","n","e"
0,70,30
3,94,3
0,2,98
2,0,98
0,0,100
21,77,2
23,76,1
94,1,5
23,55,22
32,65,3
15,36,49
5,87,8
0,90,10
0,18,82
56,43,1
2,87,11
0,58,42
1,18,81
2,9,89
2,90,8
82,16,2
1,31,68
0,64,36
27,73,0
7,90,3
12,86,2
29,67,4
12,87,1
2,80,18
1,7,92
1,69,30
13,81,6
31,69,0
0,0,100
0,3,97
1,86,13
1,53,46
34,66,0
31,33,36
0,61,39
1,33,66
0,17,83
1,32,67
7,31,62
11,59,30
54,30,16
0,95,5
14,84,2
34,66,0
0,20,80
95,3,2
2,30,68
23,77,0
1,6,93
57,41,2
2,23,75
4,84,12
0,21,79
45,54,1
0,77,23
0,59,41
15,84,1
0,67,33
9,48,43
52,46,2
1,61,38
1,61,38
27,68,5
13,85,2
2,29,69
13,79,8
10,61,29
0,41,59
0,71,29
0,67,33
1,13,86
7,82,11
8,72,20
58,41,1
5,95,0
1,5,94
4,91,5
0,38,62
23,76,1
0,57,43
11,88,1
1,57,42
13,86,1
3,94,3
58,41,1
0,97,3
1,25,74
1,66,33
46,54,0
0,100,0
76,23,1
52,35,13
0,33,67
14,86,0
83,16,1
0,14,86
0,85,15
65,16,19
1,94,5
96,4,0
16,84,0
2,61,37
0,0,100
6,47,47
46,53,1
1,59,40
1,55,44
0,39,61
60,11,29
4,22,74
2,72,26
78,22,0
1,3,96
92,8,0
0,86,14
1,70,29
5,78,17
1,2,97
84,16,0
2,61,37
0,66,34
0,0,100
53,47,0
67,33,0
27,59,14
95,5,0
22,75,3
56,38,6
4,96,0
7,91,2
6,37,57
1,43,56
4,66,30
1,97,2
29,53,18
0,3,97
3,80,17
16,13,71
35,60,5
2,35,63
1,99,0
55,44,1
1,79,20
12,85,3
27,72,1
14,30,56
32,26,42
18,81,1
64,33,3
95,4,1
4,96,0
58,42,0
23,77,0
7,71,22
20,78,2
20,53,27
67,33,0
15,83,2
3,7,90
90,9,1
34,61,5
3,93,4
4,93,3
57,43,0
2,19,79
61,38,1
4,92,4
0,9,91
1,82,17
0,28,72
0,1,99
0,71,29
56,44,0
6,91,3
2,11,87
2,89,9
5,38,57
59,40,1
13,56,31
0,2,98
9,7,84
19,60,21
18,80,2
16,83,1
68,32,0
0,2,98
1,6,93
0,48,52
3,76,21
0,67,33
1,67,32
1,27,72
24,32,44
22,74,4
16,49,35
8,91,1
23,70,7
42,58,0
29,69,2
1,69,30
4,96,0
11,86,3
1,65,34
4,62,34
50,50,0
3,87,10
72,28,0
0,58,42
1,14,85
82,18,0
3,70,27
7,87,6
9,8,83
1,41,58
1,89,10
0,47,53
14,64,22
0,5,95
80,20,0
1,99,0
0,1,99
71,23,6
1,67,32
29,70,1
82,17,1
