"c","n","e"
0,70,30
3,94,3
0,0,5
2,0,98
0,0,25
7,17,1
23,76,1
94,1,5
0,5,0
32,65,3
1,15,9
5,87,8
0,5,0
0,2,3
3,2,0
0,22,3
0,1,4
0,1,24
2,9,89
0,24,1
5,0,0
0,8,17
0,4,1
1,4,0
1,24,0
0,5,0
1,4,0
12,87,1
0,4,1
0,3,22
1,69,30
13,81,6
11,14,0
0,0,5
0,0,5
0,3,2
1,53,46
7,18,0
31,33,36
0,2,3
1,5,19
0,2,3
0,0,5
7,31,62
3,14,8
54,30,16
0,22,3
14,84,2
10,15,0
0,4,21
95,3,2
0,0,5
8,17,0
1,6,93
57,41,2
0,7,18
0,20,5
0,1,4
4,1,0
0,17,8
0,19,6
5,20,0
0,16,9
1,11,13
10,14,1
1,61,38
1,61,38
2,2,1
0,4,1
0,1,4
4,20,1
10,61,29
0,41,59
0,19,6
0,16,9
0,1,24
1,20,4
8,72,20
58,41,1
1,24,0
1,5,94
0,5,0
0,38,62
3,21,1
0,12,13
2,22,1
1,57,42
2,23,0
2,21,2
18,5,2
0,25,0
0,1,4
1,66,33
3,2,0
0,25,0
5,0,0
1,2,2
0,2,3
0,5,0
5,0,0
0,2,23
0,85,15
3,1,1
0,5,0
22,3,0
0,5,0
2,61,37
0,0,25
0,10,15
3,2,0
1,59,40
1,14,10
0,4,1
13,4,8
0,0,5
2,72,26
3,2,0
0,0,25
92,8,0
0,5,0
1,70,29
5,78,17
0,0,5
2,3,0
2,61,37
0,66,34
0,0,25
53,47,0
5,0,0
27,59,14
5,0,0
0,4,1
16,7,2
4,96,0
1,22,2
1,4,20
0,10,15
4,66,30
1,24,0
29,53,18
0,3,97
3,80,17
2,1,2
35,60,5
0,10,15
0,5,0
13,12,0
0,22,3
1,23,1
27,72,1
14,30,56
32,26,42
1,4,0
15,9,1
4,0,1
1,24,0
16,9,0
3,22,0
7,71,22
3,21,1
11,12,2
67,33,0
15,83,2
0,0,5
90,9,1
2,3,0
0,5,0
0,24,1
3,2,0
2,19,79
14,11,0
0,4,1
0,1,24
0,5,0
0,11,14
0,1,99
0,20,5
16,9,0
6,91,3
1,3,21
0,22,3
1,1,3
4,1,0
2,15,8
0,2,98
2,4,19
7,16,2
18,80,2
4,21,0
4,1,0
0,0,5
0,2,23
0,48,52
0,18,7
0,67,33
1,67,32
1,27,72
1,1,3
6,18,1
2,2,1
1,24,0
1,2,2
42,58,0
3,1,1
0,1,4
1,4,0
0,5,0
1,65,34
2,17,6
50,50,0
0,2,3
5,0,0
0,58,42
1,14,85
5,0,0
0,4,1
2,21,2
1,3,21
0,2,3
1,21,3
0,47,53
14,64,22
0,1,4
4,1,0
0,25,0
0,0,5
17,6,2
1,67,32
29,70,1
82,17,1
