"","","","","","","","","","","Freq"
0,0,0,0,0,0,0,0,0,50,119
0,0,0,0,0,0,0,0,0,51,118
0,0,0,0,0,0,0,0,0,52,91
0,0,0,0,0,0,0,0,0,53,37
0,0,0,0,0,0,0,0,0,54,15
0,0,0,0,0,0,0,0,0,55,3
0,0,0,0,0,0,0,0,0,56,2
0,0,0,0,0,0,0,0,0,57,2
0,0,0,0,0,0,0,0,0,58,1
0,0,0,0,0,0,0,0,0,59,1
0,0,0,0,0,0,0,0,0,61,1
0,0,0,0,0,0,0,0,1,49,14
0,0,0,0,0,0,0,0,1,50,15
0,0,0,0,0,0,0,0,1,51,10
0,0,0,0,0,0,0,0,1,52,2
0,0,0,0,0,0,0,0,1,53,1
0,0,0,0,0,0,0,0,1,54,2
0,0,0,0,0,0,0,0,2,51,1
0,0,0,0,0,0,0,0,3,48,1
0,0,0,0,0,0,0,0,4,46,1
0,0,0,0,0,0,0,0,42,8,1
0,0,0,0,0,0,0,0,44,6,1
0,0,0,0,0,0,0,0,48,2,2
0,0,0,0,0,0,0,0,48,6,1
0,0,0,0,0,0,0,0,49,1,21
0,0,0,0,0,0,0,0,49,2,4
0,0,0,0,0,0,0,0,50,0,92
0,0,0,0,0,0,0,0,50,1,19
0,0,0,0,0,0,0,0,50,2,1
0,0,0,0,0,0,0,0,51,0,132
0,0,0,0,0,0,0,0,51,1,15
0,0,0,0,0,0,0,0,52,0,74
0,0,0,0,0,0,0,0,52,1,5
0,0,0,0,0,0,0,0,53,0,33
0,0,0,0,0,0,0,0,53,1,1
0,0,0,0,0,0,0,0,54,0,10
0,0,0,0,0,0,0,0,55,0,4
0,0,0,0,0,0,0,0,55,3,1
0,0,0,0,0,0,0,0,56,0,2
0,0,0,0,0,0,0,0,56,1,1
0,0,0,0,0,0,0,0,57,1,2
0,0,0,0,0,0,0,0,58,0,3
0,0,0,0,0,0,0,0,59,0,1
0,0,0,0,0,0,0,0,60,0,1
0,0,0,0,0,0,0,1,0,49,5
0,0,0,0,0,0,0,1,0,50,9
0,0,0,0,0,0,0,1,0,51,2
0,0,0,0,0,0,0,1,0,52,4
0,0,0,0,0,0,0,1,0,54,1
0,0,0,0,0,0,0,1,1,49,2
0,0,0,0,0,0,0,1,1,50,1
0,0,0,0,0,0,0,1,1,51,2
0,0,0,0,0,0,0,1,49,0,3
0,0,0,0,0,0,0,1,49,2,1
0,0,0,0,0,0,0,1,50,0,3
0,0,0,0,0,0,0,1,51,0,3
0,0,0,0,0,0,0,1,52,0,4
0,0,0,0,0,0,0,1,56,0,1
0,0,0,0,0,0,0,49,0,1,11
0,0,0,0,0,0,0,49,1,0,4
0,0,0,0,0,0,0,50,0,0,159
0,0,0,0,0,0,0,50,0,1,10
0,0,0,0,0,0,0,50,1,0,3
0,0,0,0,0,0,0,51,0,0,153
0,0,0,0,0,0,0,51,0,1,4
0,0,0,0,0,0,0,51,1,0,5
0,0,0,0,0,0,0,52,0,0,93
0,0,0,0,0,0,0,52,0,1,2
0,0,0,0,0,0,0,52,0,2,1
0,0,0,0,0,0,0,52,1,0,1
0,0,0,0,0,0,0,53,0,0,54
0,0,0,0,0,0,0,53,0,1,2
0,0,0,0,0,0,0,53,1,0,1
0,0,0,0,0,0,0,54,0,0,19
0,0,0,0,0,0,0,55,0,0,6
0,0,0,0,0,0,0,55,0,1,2
0,0,0,0,0,0,0,56,0,0,1
0,0,0,0,0,0,0,57,0,0,4
0,0,0,0,0,0,0,58,0,0,3
0,0,0,0,0,0,0,59,0,0,2
0,0,0,0,0,0,1,0,0,49,4
0,0,0,0,0,0,1,0,0,50,2
