"X1","X2","X3","X4","X5","X6","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","Freq"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,27689
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,41
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,55
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,4
0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,239
0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,7
0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,237
0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,71
0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,47
0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,4
0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,26
0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,62
0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,938
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,159
0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,0,32
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,2
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,11
0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,0,2
0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,3,1
0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,20
0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,125
0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,254
0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,386
0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,1008
0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,40845
0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,0,4
0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,3,1
0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,209
0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,6
0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,3,2
0,0,0,0,0,0,0,0,0,0,0,2,7,0,1,1,19
0,0,0,0,0,0,0,0,0,0,0,2,8,0,1,0,234
0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,340
0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,67
0,0,0,0,0,0,0,0,0,0,0,4,0,1,6,0,79
0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,18
0,0,0,0,0,0,0,0,0,0,0,4,6,0,1,0,115
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,4
0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,3
0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,650
0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,3,2
0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,3,1
0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,1,8,0,1,0,1,2
0,0,0,0,0,0,0,0,0,0,1,8,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,1,8,0,2,0,0,38
0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,71
0,0,0,0,0,0,0,0,0,0,1,9,0,1,0,0,3
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,1
0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,8,6
0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,54
0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,8,1
0,0,0,0,0,0,0,0,0,0,2,1,8,0,0,0,165
0,0,0,0,0,0,0,0,0,0,2,3,6,0,0,0,142
0,0,0,0,0,0,0,0,0,0,2,6,0,3,0,0,21
0,0,0,0,0,0,0,0,0,0,2,7,0,1,1,0,4
0,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,12
0,0,0,0,0,0,0,0,0,0,2,8,0,0,1,0,220
0,0,0,0,0,0,0,0,0,0,2,8,0,1,0,0,44
0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,62
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,10
0,0,0,0,0,0,0,0,0,0,3,2,6,0,0,0,27
0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,223
0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,126
0,0,0,0,0,0,0,0,0,0,3,7,0,0,1,0,6
0,0,0,0,0,0,0,0,0,0,3,7,1,0,0,0,106
0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,131
0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,3
0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,20
0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,1,3
0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,148
0,0,0,0,0,0,0,0,0,0,6,4,1,0,0,0,231
0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,3,4
0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,2,3
0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,1,2
0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,278
0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,1,60
0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,309
0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,1403
0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,369
0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,249
0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,1973
0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,5335
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,29
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,1
0,0,0,0,0,0,0,0,0,1,2,7,0,1,0,0,13
0,0,0,0,0,0,0,0,0,1,2,8,0,0,0,0,12
0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,3,2
0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,4
0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,73
0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,275
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,4
